                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7454,                 1.8533,                 1.3497,                0.63289,                0.41902,                0.44318,                0.22009,                 1.6827,                 1.4598,                 1.3433,              0.0033254,              0.0033254,              0.0033254
                      2,                  1.664,                 1.3543,                 1.2951,                0.51186,                0.46435,                 0.4704,                0.24324,                 1.6298,                 1.3373,                 1.3116,              0.0065928,              0.0065928,              0.0065928
                      3,                 1.6685,                 1.3532,                 1.2869,                0.57453,                0.44477,                0.45832,                  0.227,                 1.6907,                 1.6256,                 1.3293,              0.0097942,              0.0097942,              0.0097942
                      4,                    1.7,                 1.3611,                  1.309,                0.48045,                0.46378,                0.44418,                0.22269,                 1.7017,                 1.5011,                 1.3404,               0.009703,               0.009703,               0.009703
                      5,                  1.677,                 1.3185,                 1.3027,                0.54126,                0.45714,                  0.464,                0.23353,                  1.661,                 1.5754,                 1.3403,               0.009604,               0.009604,               0.009604
                      6,                  1.657,                 1.2716,                 1.2922,                0.53149,                0.48926,                0.49654,                0.25642,                 1.6269,                 1.3163,                 1.3118,               0.009505,               0.009505,               0.009505
                      7,                 1.6297,                  1.223,                 1.2739,                0.59676,                0.48908,                0.49947,                0.25307,                 1.6322,                 1.6739,                 1.3144,               0.009406,               0.009406,               0.009406
                      8,                  1.614,                 1.1871,                 1.2649,                 0.6443,                0.53144,                0.55311,                0.28536,                  1.574,                 1.3072,                 1.2718,               0.009307,               0.009307,               0.009307
                      9,                 1.5875,                 1.1433,                 1.2528,                0.60028,                0.56552,                0.57993,                0.30513,                 1.5369,                 1.1239,                 1.2574,               0.009208,               0.009208,               0.009208
                     10,                 1.5782,                 1.1286,                 1.2487,                0.62367,                0.57132,                0.57534,                0.30087,                 1.5388,                 1.2805,                 1.2611,               0.009109,               0.009109,               0.009109
                     11,                 1.5523,                  1.097,                 1.2419,                0.62828,                0.52787,                0.56063,                0.29414,                 1.5568,                 1.6494,                 1.2684,                0.00901,                0.00901,                0.00901
                     12,                 1.5481,                  1.074,                 1.2356,                0.65969,                0.58795,                0.61206,                 0.3102,                 1.5279,                 1.2266,                 1.2591,               0.008911,               0.008911,               0.008911
                     13,                 1.5285,                 1.0584,                  1.229,                0.63242,                0.59013,                0.62613,                 0.3267,                 1.5185,                 1.1952,                 1.2371,               0.008812,               0.008812,               0.008812
                     14,                 1.5239,                 1.0423,                 1.2236,                0.67482,                0.61187,                0.65041,                0.34051,                  1.527,                 1.0705,                 1.2475,               0.008713,               0.008713,               0.008713
                     15,                 1.5071,                 1.0159,                  1.213,                0.67622,                0.56208,                0.60806,                0.32318,                 1.5336,                 1.0662,                 1.2543,               0.008614,               0.008614,               0.008614
                     16,                 1.5067,                 1.0117,                 1.2093,                0.68956,                0.61295,                0.63929,                0.33558,                 1.5015,                  1.068,                 1.2365,               0.008515,               0.008515,               0.008515
                     17,                 1.4846,                 0.9846,                 1.1982,                0.69597,                0.63386,                0.67466,                0.35731,                  1.474,                 1.0772,                 1.2183,               0.008416,               0.008416,               0.008416
                     18,                 1.4754,                0.97291,                 1.1948,                0.76931,                0.64284,                0.70804,                0.37051,                 1.4625,                  1.008,                 1.2034,               0.008317,               0.008317,               0.008317
                     19,                 1.4749,                0.96475,                 1.1949,                0.72657,                0.65059,                0.67891,                0.37179,                   1.46,                0.94454,                 1.2105,               0.008218,               0.008218,               0.008218
                     20,                 1.4565,                0.94442,                 1.1867,                0.75217,                0.64882,                0.70325,                0.37635,                 1.4625,                0.95127,                 1.1943,               0.008119,               0.008119,               0.008119
                     21,                 1.4509,                0.94454,                 1.1813,                0.69219,                0.65931,                0.69699,                0.37441,                 1.4519,                0.91085,                 1.1922,                0.00802,                0.00802,                0.00802
                     22,                 1.4438,                0.92791,                  1.176,                0.70888,                0.67575,                0.70557,                0.38195,                 1.4523,                0.92161,                 1.2015,               0.007921,               0.007921,               0.007921
                     23,                 1.4384,                0.91885,                 1.1733,                0.78411,                0.65073,                0.72673,                0.39521,                  1.437,                 1.0368,                 1.1953,               0.007822,               0.007822,               0.007822
                     24,                 1.4324,                0.91287,                  1.171,                0.67415,                0.61301,                0.65836,                0.35721,                  1.473,                 1.1224,                 1.2126,               0.007723,               0.007723,               0.007723
                     25,                 1.4315,                0.90434,                 1.1695,                0.73057,                0.69109,                0.72619,                0.39092,                 1.4391,                 1.0006,                 1.1887,               0.007624,               0.007624,               0.007624
                     26,                 1.4172,                0.89249,                 1.1623,                0.75978,                 0.6933,                0.73822,                0.40482,                 1.4161,                0.90191,                 1.1733,               0.007525,               0.007525,               0.007525
                     27,                 1.4121,                0.88595,                 1.1593,                0.78149,                0.69409,                0.74965,                0.41141,                 1.4228,                0.90345,                 1.1839,               0.007426,               0.007426,               0.007426
                     28,                 1.3999,                0.87517,                  1.157,                0.74862,                0.72339,                0.75975,                0.42013,                 1.4268,                0.85896,                 1.1722,               0.007327,               0.007327,               0.007327
                     29,                 1.3874,                0.86474,                 1.1518,                0.74247,                0.70686,                0.74653,                0.40936,                 1.4123,                0.87653,                 1.1791,               0.007228,               0.007228,               0.007228
                     30,                 1.3824,                0.85315,                 1.1463,                0.75412,                 0.7248,                0.76029,                0.41918,                 1.4162,                0.86126,                 1.1724,               0.007129,               0.007129,               0.007129
                     31,                 1.3736,                 0.8446,                 1.1429,                0.76194,                0.72124,                0.76785,                0.42484,                 1.4148,                0.83586,                 1.1723,                0.00703,                0.00703,                0.00703
                     32,                 1.3779,                0.84459,                 1.1444,                0.76623,                0.71478,                0.76827,                0.42345,                 1.4074,                0.85417,                  1.162,               0.006931,               0.006931,               0.006931
                     33,                 1.3723,                0.84054,                 1.1427,                0.81451,                0.72013,                0.78187,                0.43067,                 1.4022,                0.82984,                 1.1638,               0.006832,               0.006832,               0.006832
                     34,                 1.3643,                0.82769,                 1.1359,                0.81213,                0.71599,                0.78714,                0.43926,                 1.4078,                0.87842,                 1.1572,               0.006733,               0.006733,               0.006733
                     35,                  1.353,                0.82094,                 1.1316,                0.80212,                0.71755,                0.78421,                0.43576,                 1.3947,                0.81759,                 1.1626,               0.006634,               0.006634,               0.006634
                     36,                 1.3424,                0.80943,                 1.1225,                0.76897,                0.74737,                0.79184,                0.44287,                 1.3968,                0.80662,                 1.1597,               0.006535,               0.006535,               0.006535
                     37,                 1.3409,                0.80015,                 1.1269,                0.79839,                 0.7261,                0.78917,                0.44297,                 1.3922,                0.82532,                 1.1523,               0.006436,               0.006436,               0.006436
                     38,                 1.3371,                0.79991,                 1.1262,                0.80565,                0.73231,                0.79178,                 0.4448,                 1.3853,                0.79696,                 1.1548,               0.006337,               0.006337,               0.006337
                     39,                 1.3295,                0.79649,                 1.1192,                0.83662,                0.72279,                0.79405,                0.44304,                 1.3865,                0.79841,                  1.147,               0.006238,               0.006238,               0.006238
                     40,                 1.3208,                0.79005,                 1.1169,                0.81694,                0.72167,                0.79708,                0.44651,                 1.3939,                0.80205,                 1.1578,               0.006139,               0.006139,               0.006139
                     41,                 1.3155,                0.77547,                   1.11,                 0.8335,                0.73023,                0.80764,                0.45719,                 1.3856,                0.83172,                 1.1482,                0.00604,                0.00604,                0.00604
                     42,                 1.3139,                 0.7769,                 1.1103,                0.79544,                 0.7634,                0.80948,                0.45379,                 1.3711,                0.77342,                 1.1441,               0.005941,               0.005941,               0.005941
                     43,                 1.3139,                0.77352,                 1.1063,                 0.8016,                0.74351,                0.79566,                0.44996,                 1.3709,                0.77685,                 1.1454,               0.005842,               0.005842,               0.005842
                     44,                 1.3113,                0.76565,                 1.1097,                0.79878,                0.75596,                0.80416,                0.45793,                 1.3642,                0.75896,                 1.1489,               0.005743,               0.005743,               0.005743
                     45,                 1.3125,                0.76531,                 1.1068,                 0.8361,                0.73989,                0.81667,                0.45928,                 1.3738,                0.76072,                  1.136,               0.005644,               0.005644,               0.005644
                     46,                 1.2951,                0.75435,                 1.1035,                0.79809,                0.75202,                0.81148,                0.46507,                 1.3666,                0.75465,                 1.1436,               0.005545,               0.005545,               0.005545
                     47,                  1.292,                0.75405,                 1.0986,                 0.7957,                0.76064,                0.81074,                0.45837,                 1.3734,                0.76212,                 1.1395,               0.005446,               0.005446,               0.005446
                     48,                 1.2819,                0.74983,                  1.096,                0.81913,                0.75449,                0.82291,                0.46904,                 1.3588,                0.74931,                 1.1348,               0.005347,               0.005347,               0.005347
                     49,                 1.2822,                 0.7444,                 1.0945,                0.81954,                0.76387,                0.82174,                0.47355,                 1.3569,                0.75607,                 1.1392,               0.005248,               0.005248,               0.005248
                     50,                 1.2757,                0.73575,                   1.09,                0.82477,                0.76993,                0.82111,                0.46994,                 1.3648,                 0.7543,                 1.1427,               0.005149,               0.005149,               0.005149
                     51,                 1.2684,                0.73131,                 1.0862,                0.80392,                0.76052,                0.82326,                0.47361,                 1.3541,                0.73274,                 1.1313,                0.00505,                0.00505,                0.00505
                     52,                 1.2629,                0.72145,                 1.0856,                0.80603,                0.78072,                0.82948,                0.48031,                 1.3513,                0.74571,                 1.1344,               0.004951,               0.004951,               0.004951
                     53,                 1.2602,                0.71922,                 1.0839,                0.84517,                0.77306,                0.83954,                0.47853,                 1.3554,                0.72954,                 1.1326,               0.004852,               0.004852,               0.004852
                     54,                 1.2506,                0.71593,                  1.079,                0.84963,                0.77013,                0.83655,                0.47877,                 1.3524,                0.72894,                 1.1294,               0.004753,               0.004753,               0.004753
                     55,                 1.2503,                0.71432,                 1.0788,                0.83963,                0.76546,                0.83064,                0.47525,                 1.3535,                0.71571,                 1.1333,               0.004654,               0.004654,               0.004654
                     56,                 1.2468,                0.70141,                 1.0764,                0.81477,                0.77383,                0.83088,                0.47651,                 1.3565,                0.71168,                 1.1326,               0.004555,               0.004555,               0.004555
                     57,                 1.2463,                0.70127,                  1.074,                0.83826,                 0.7734,                0.83663,                0.48158,                  1.343,                0.71321,                 1.1304,               0.004456,               0.004456,               0.004456
                     58,                 1.2351,                0.69815,                 1.0693,                0.81767,                0.79735,                0.83676,                0.47494,                 1.3498,                 0.7264,                 1.1319,               0.004357,               0.004357,               0.004357
                     59,                 1.2326,                0.69079,                 1.0695,                0.83134,                0.78387,                0.84213,                0.47794,                 1.3461,                0.70945,                 1.1261,               0.004258,               0.004258,               0.004258
                     60,                 1.2217,                0.68477,                 1.0656,                0.85321,                0.76969,                0.84294,                0.48618,                  1.338,                0.70397,                 1.1284,               0.004159,               0.004159,               0.004159
                     61,                  1.216,                0.68425,                 1.0659,                0.85437,                0.77085,                0.84202,                 0.4841,                 1.3438,                0.70308,                 1.1239,                0.00406,                0.00406,                0.00406
                     62,                 1.2089,                0.67543,                 1.0627,                0.83698,                0.78795,                0.84214,                0.48761,                 1.3394,                0.70007,                 1.1313,               0.003961,               0.003961,               0.003961
                     63,                 1.2065,                0.67567,                 1.0583,                0.83744,                0.79383,                 0.8445,                0.48715,                 1.3406,                0.70036,                 1.1285,               0.003862,               0.003862,               0.003862
                     64,                 1.2009,                0.66721,                 1.0576,                0.83981,                0.78615,                0.84412,                0.48608,                 1.3356,                 0.6975,                 1.1242,               0.003763,               0.003763,               0.003763
                     65,                 1.1893,                0.66048,                   1.05,                0.83472,                0.78564,                0.83967,                0.48461,                 1.3382,                0.69895,                 1.1297,               0.003664,               0.003664,               0.003664
                     66,                  1.191,                0.65982,                 1.0529,                0.84581,                0.77444,                0.84345,                0.48952,                  1.337,                 0.6975,                 1.1305,               0.003565,               0.003565,               0.003565
                     67,                 1.1899,                0.65751,                 1.0494,                0.83844,                0.78119,                0.84548,                0.49337,                  1.335,                0.69312,                  1.127,               0.003466,               0.003466,               0.003466
                     68,                 1.1801,                0.65195,                 1.0504,                0.84206,                0.79752,                0.84808,                0.49374,                 1.3467,                0.69097,                 1.1319,               0.003367,               0.003367,               0.003367
                     69,                 1.1886,                0.65267,                 1.0521,                0.85175,                0.79276,                0.85176,                0.49697,                 1.3405,                 0.6975,                 1.1303,               0.003268,               0.003268,               0.003268
                     70,                 1.1691,                0.64051,                 1.0452,                0.83478,                0.79448,                0.85201,                0.49388,                 1.3401,                 0.6951,                 1.1328,               0.003169,               0.003169,               0.003169
                     71,                 1.1666,                0.64037,                 1.0437,                0.86285,                0.77801,                0.85309,                0.49741,                 1.3304,                0.69677,                 1.1264,                0.00307,                0.00307,                0.00307
                     72,                 1.1656,                 0.6331,                 1.0436,                0.85176,                0.79585,                0.85382,                0.50336,                   1.33,                0.69668,                 1.1255,               0.002971,               0.002971,               0.002971
                     73,                 1.1578,                0.63159,                 1.0386,                0.86455,                0.79537,                0.85362,                0.50034,                 1.3425,                0.70517,                 1.1324,               0.002872,               0.002872,               0.002872
                     74,                 1.1544,                0.62709,                 1.0379,                0.85018,                0.80837,                0.85547,                0.49839,                 1.3396,                0.70119,                 1.1296,               0.002773,               0.002773,               0.002773
                     75,                 1.1516,                0.62663,                 1.0349,                0.84793,                0.80356,                0.86036,                0.50178,                 1.3296,                0.70817,                 1.1247,               0.002674,               0.002674,               0.002674
                     76,                 1.1395,                0.61932,                 1.0343,                0.85378,                0.79842,                0.85746,                0.49749,                 1.3329,                0.69795,                 1.1282,               0.002575,               0.002575,               0.002575
                     77,                 1.1383,                0.61741,                 1.0303,                0.86373,                0.79169,                0.85682,                0.50308,                 1.3338,                0.70324,                 1.1303,               0.002476,               0.002476,               0.002476
                     78,                 1.1333,                0.61058,                  1.028,                0.85127,                0.79539,                0.85406,                0.49839,                  1.329,                0.69789,                 1.1299,               0.002377,               0.002377,               0.002377
                     79,                 1.1269,                0.60943,                 1.0263,                0.84824,                0.80494,                0.85708,                0.50044,                 1.3238,                0.69286,                 1.1268,               0.002278,               0.002278,               0.002278
                     80,                 1.1328,                0.61161,                 1.0279,                0.84191,                0.79902,                0.85526,                0.49957,                 1.3271,                0.68892,                 1.1259,               0.002179,               0.002179,               0.002179
                     81,                 1.1185,                0.60636,                 1.0213,                0.83797,                0.80649,                0.85541,                0.50324,                 1.3269,                0.69226,                 1.1263,                0.00208,                0.00208,                0.00208
                     82,                 1.1126,                 0.5992,                 1.0213,                0.84916,                0.80773,                0.85585,                0.50193,                 1.3295,                0.68812,                 1.1288,               0.001981,               0.001981,               0.001981
                     83,                 1.1048,                0.59247,                 1.0197,                0.85426,                0.79928,                0.85773,                0.50418,                 1.3309,                0.69113,                 1.1302,               0.001882,               0.001882,               0.001882
                     84,                 1.1074,                0.59587,                 1.0199,                0.84631,                0.80041,                0.85494,                0.50295,                 1.3309,                 0.6813,                 1.1319,               0.001783,               0.001783,               0.001783
                     85,                 1.0957,                0.58213,                 1.0119,                0.85577,                  0.792,                0.85774,                0.50124,                 1.3311,                0.68252,                 1.1324,               0.001684,               0.001684,               0.001684
                     86,                 1.0933,                0.58394,                 1.0136,                0.85132,                0.79413,                0.85756,                 0.5061,                  1.332,                0.69569,                 1.1317,               0.001585,               0.001585,               0.001585
                     87,                 1.0899,                0.58111,                 1.0139,                0.86501,                0.80036,                0.86081,                0.50423,                 1.3348,                0.69888,                 1.1354,               0.001486,               0.001486,               0.001486
                     88,                 1.0762,                0.56928,                 1.0077,                0.87249,                0.79139,                0.86049,                0.50562,                  1.335,                0.69255,                 1.1353,               0.001387,               0.001387,               0.001387
                     89,                  1.083,                0.57072,                 1.0108,                0.87143,                0.79943,                0.86399,                0.50836,                 1.3323,                0.68803,                 1.1324,               0.001288,               0.001288,               0.001288
                     90,                 1.0815,                0.57103,                 1.0085,                0.86106,                0.80058,                0.86258,                0.50889,                 1.3279,                0.68816,                 1.1302,               0.001189,               0.001189,               0.001189
                     91,                 1.0639,                0.53057,                 1.0018,                0.86777,                0.79839,                0.85296,                0.49994,                 1.3299,                0.72042,                 1.1314,                0.00109,                0.00109,                0.00109
                     92,                 1.0458,                0.51844,                 0.9949,                0.87177,                0.79233,                0.85556,                0.50524,                 1.3298,                0.73839,                 1.1302,               0.000991,               0.000991,               0.000991
                     93,                 1.0312,                 0.5073,                0.98817,                0.86036,                0.80232,                0.85515,                0.50581,                 1.3297,                0.73235,                 1.1308,               0.000892,               0.000892,               0.000892
                     94,                 1.0185,                0.50191,                0.98667,                0.86147,                0.80355,                0.85289,                 0.5065,                 1.3276,                0.72081,                 1.1308,               0.000793,               0.000793,               0.000793
                     95,                 1.0162,                0.49801,                0.98573,                0.86139,                0.79663,                0.85311,                0.50728,                 1.3273,                0.72214,                 1.1314,               0.000694,               0.000694,               0.000694
                     96,                 1.0088,                0.49428,                0.98159,                0.86052,                0.79192,                0.85235,                0.50699,                 1.3278,                0.72245,                 1.1314,               0.000595,               0.000595,               0.000595
                     97,                  1.002,                  0.489,                 0.9802,                0.85182,                0.79977,                0.85173,                0.50616,                 1.3274,                0.71954,                 1.1322,               0.000496,               0.000496,               0.000496
                     98,                0.99978,                0.48682,                0.98058,                0.85183,                0.80006,                0.85318,                0.50588,                 1.3274,                0.71907,                 1.1339,               0.000397,               0.000397,               0.000397
                     99,                0.99021,                0.48208,                0.97874,                0.85796,                0.79835,                0.85463,                0.50577,                 1.3272,                0.71938,                 1.1348,               0.000298,               0.000298,               0.000298
                    100,                0.98484,                0.47684,                0.97428,                0.85948,                 0.7972,                0.85428,                0.50641,                 1.3275,                 0.7181,                 1.1361,               0.000199,               0.000199,               0.000199
